"","kelp","substrate","depth","x","y","period","ammonium_spring_mean","ammonium_summer_minimum","currentSpeed_summer_mean","nitrate_summer_minimum","PAR_summer_mean","temperature_summer_mean","turbidity_summer_mean","salinity_summer_mean","slope_5x5","TPI_3x3","substrate_aligned","bathymetry_20","set","cell","Cluster","weight"
"21",1,1,2.66466283798218,1196001.44044,380376.642823,"2014_2019",1.59954059123993,1.84999346733093,0.218703433871269,13.5845079421997,119.187446594238,11.8261404037476,1.09808480739594,30.2910499572754,1.65372860431671,0.00335550308227539,1,2.66466283798218,"train",30,4,0.47852348993288
"22",1,1,2.71216821670532,1055277.289869,561417.304724,"2014_2019",1.44848787784576,1.43004941940308,1.06020092964172,16.3371543884277,112.852272033691,10.9531888961792,0.707477927207947,29.308219909668,3.0794198513031,0.261894702911377,1,2.71216821670532,"train",31,2,1.71394230769229
"23",1,1,1.96768355369568,1202164.299981,384782.915286,"2014_2019",1.73282945156097,1.76611006259918,0.763044893741608,10.6862831115723,121.266410827637,12.4866333007812,1.41052496433258,29.1350135803223,7.62352466583252,-0.0967812538146973,1,1.96768355369568,"train",32,4,0.47852348993288
"24",1,1,1.620236992836,1055459.184111,561643.196819,"2014_2019",1.44676792621613,1.45063579082489,0.940260469913483,16.5131397247314,112.799301147461,10.9930763244629,0.698676347732544,29.3216171264648,1.17299544811249,-0.109610080718994,1,1.620236992836,"train",33,2,1.71394230769229
"25",1,1,0.0867578014731407,1174742.291385,369345.558129,"2014_2019",1.53518617153168,1.89086699485779,0.60059404373169,15.0476293563843,119.91227722168,11.0589017868042,0.946314752101898,30.7823677062988,16.3164978027344,-0.506417751312256,1,0.0867578014731407,"train",34,4,0.47852348993288
"26",1,1,2.12788701057434,1212458.932405,420932.368299,"2014_2019",1.70011007785797,1.20644450187683,0.926255404949188,6.38886547088623,119.08122253418,13.3131608963013,1.91223216056824,27.4483661651611,17.3223762512207,0.0179870128631592,1,2.12788701057434,"train",38,4,0.47852348993288
"27",1,1,8.84800148010254,1183888.292484,367500.44202,"2014_2019",1.55619168281555,1.85116803646088,1.19901990890503,14.9082355499268,121.034454345703,11.0711460113525,1.02699160575867,30.6034641265869,4.14579486846924,1.68233013153076,1,8.84800148010254,"train",40,4,0.47852348993288
"28",1,1,1.07904016971588,1196065.846113,430364.796746,"2014_2019",1.66189455986023,0.663110971450806,0.892920315265656,2.595454454422,118.028289794922,14.4200315475464,2.29874277114868,25.7960338592529,12.3521995544434,0.179534137248993,1,1.07904016971588,"train",42,4,0.47852348993288
"29",1,1,7.98154783248901,1175964.739548,370348.244743,"2014_2019",1.53301775455475,1.89479005336761,0.386221498250961,15.5415096282959,120.40503692627,11.0947065353394,0.942330360412598,30.8043823242188,2.1554491519928,-0.0259232521057129,1,7.98154783248901,"train",43,4,0.47852348993288
"30",1,1,-0.475298494100571,1055601.787597,552918.733862,"2014_2019",1.46931767463684,0.714162349700928,0.520865321159363,4.70960330963135,109.692390441895,13.2144298553467,0.536148488521576,27.7747116088867,2.12893867492676,-0.00515517592430115,1,-0.475298494100571,"train",44,2,1.71394230769229
"31",1,1,4.73691892623901,1199169.628198,408282.40014,"2014_2019",1.76301312446594,1.4068785905838,0.436913281679153,7.96056985855103,119.319496154785,13.6660470962524,1.64215397834778,27.6702556610107,7.57139015197754,-1.28737306594849,1,4.73691892623901,"train",47,4,0.47852348993288
"32",1,1,6.51720333099365,1199102.928272,407795.351157,"2014_2019",1.76451671123505,1.39931190013885,0.452271163463593,7.8771333694458,119.283149719238,13.7407560348511,1.63044273853302,27.6335525512695,3.17907762527466,-2.12132263183594,1,6.51720333099365,"train",48,4,0.47852348993288
"33",1,1,-0.941090762615204,1200455.866839,382035.278976,"2014_2019",1.62126398086548,1.7580041885376,0.383831679821014,12.400050163269,120.916877746582,11.9899492263794,1.24763607978821,29.8117160797119,7.09000444412231,0.119105041027069,1,-0.941090762615204,"train",49,4,0.47852348993288
"34",1,1,8.89355373382568,1201312.490342,381647.179866,"2014_2019",1.67462825775146,1.87263631820679,0.549784243106842,13.5110206604004,121.635299682617,11.5789031982422,1.24821603298187,29.970178604126,0.694345355033875,-0.743370056152344,1,8.89355373382568,"train",50,4,0.47852348993288
"35",1,1,10.0730257034302,1175415.024144,369638.686896,"2014_2019",1.52929627895355,1.8790374994278,0.493388652801514,15.3512763977051,120.356353759766,11.0036954879761,0.945395827293396,30.8151206970215,7.44715070724487,-0.0229988098144531,1,10.0730257034302,"train",52,4,0.47852348993288
"36",1,1,0.588168382644653,1197575.326989,432141.149532,"2014_2019",1.52109467983246,0.325418382883072,0.9957475066185,0.895531415939331,118.025939941406,16.0128555297852,2.88072681427002,23.6337585449219,12.3447828292847,0.327462673187256,1,0.588168382644653,"train",53,4,0.47852348993288
